Id,SalePrice
1461,119509.44230769231
1462,159916.66666666666
1463,178055.55555555556
1464,175285.29411764705
1465,181625.0
1466,175285.29411764705
1467,163563.63636363635
1468,175285.29411764705
1469,196971.77272727274
1470,141152.0
1471,215455.57142857142
1472,88106.80952380953
1473,88106.80952380953
1474,161642.5
1475,139440.0
1476,438248.5
1477,264653.1818181818
1478,326299.0
1479,264653.1818181818
1480,438248.5
1481,380249.3333333333
1482,196825.0
1483,180036.25
1484,171750.1
1485,156022.9090909091
1486,198900.9090909091
1487,301624.4166666667
1488,196825.0
1489,196971.77272727274
1490,196272.72727272726
1491,180348.23529411765
1492,84862.5
1493,175285.29411764705
1494,380249.3333333333
1495,328600.0
1496,215455.57142857142
1497,156022.9090909091
1498,171750.1
1499,156022.9090909091
1500,133713.3
1501,175285.29411764705
1502,156022.9090909091
1503,234181.66666666666
1504,242291.875
1505,215455.57142857142
1506,178183.85714285713
1507,233173.07692307694
1508,178183.85714285713
1509,161642.5
1510,159916.66666666666
1511,159916.66666666666
1512,149686.66666666666
1513,178183.85714285713
1514,156915.0
1515,149686.66666666666
1516,161642.5
1517,143330.5306122449
1518,122732.2
1519,215455.57142857142
1520,143330.5306122449
1521,159916.66666666666
1522,161642.5
1523,140508.33333333334
1524,140508.33333333334
1525,132240.9090909091
1526,119509.44230769231
1527,86600.57894736843
1528,140508.33333333334
1529,143330.5306122449
1530,175285.29411764705
1531,127300.0
1532,117181.81818181818
1533,159916.66666666666
1534,113067.06666666667
1535,137718.18181818182
1536,113067.06666666667
1537,66700.0
1538,196825.0
1539,236750.0
1540,127300.0
1541,175800.0
1542,137718.18181818182
1543,180400.0
1544,66700.0
1545,103940.0
1546,137135.7142857143
1547,137718.18181818182
1548,137718.18181818182
1549,103940.0
1550,149686.66666666666
1551,132240.9090909091
1552,149421.5
1553,127300.0
1554,98277.77777777778
1555,156915.0
1556,98277.77777777778
1557,156915.0
1558,88106.80952380953
1559,127300.0
1560,149686.66666666666
1561,156915.0
1562,119509.44230769231
1563,132240.9090909091
1564,159916.66666666666
1565,178055.55555555556
1566,215455.57142857142
1567,86600.57894736843
1568,233173.07692307694
1569,137718.18181818182
1570,103940.0
1571,137718.18181818182
1572,143330.5306122449
1573,231288.0
1574,163563.63636363635
1575,215455.57142857142
1576,233173.07692307694
1577,196971.77272727274
